症狀,推薦穴位,來源,頁碼
疲乏嗜睡，睏倦無力,鼻翼與三叉三穴對針,區位易象特效對針,
疲倦嗜睡（發作性睡病）,鼻翼穴、三叉三穴,區位易象特效對針,
疲勞嗜睡,鼻翼穴、三叉三穴,區位易象特效對針,
痙攣型別疾病,正筋配正宗穴形成倒馬針法,區位易象特效對針,
痛經,門金穴配婦科穴為治療痛經的特效對針；若正逢痛經急性發作，子宮痙攣疼痛明顯，除上述對針外，還可以針刺承山與三陰交穴。,區位易象特效對針,
痰證和血瘀證,四花外穴,區位易象特效對針,
瘤病,合谷牽引針,區位易象特效對針,
癔症,後溪、間使,區位易象特效對針,
癲癇,後溪、間使,區位易象特效對針,
癲癇,建議穴位或對針：間使人中穴，後溪申脈穴,區位易象特效對針,
皮膚瘙癢症,耳尖、少府或血海、少府,區位易象特效對針,
眼痛,行間配三間,區位易象特效對針,
眼皮下垂、眼皮沉重、嗜睡等,本穴,區位易象特效對針,
眼紅,中渚,區位易象特效對針,
神經性皮炎,耳尖穴配通裡穴,區位易象特效對針,
筋病,太沖,區位易象特效對針,
糖尿病,太溪,區位易象特效對針,
糖尿病（消渴）,陰陵泉配太溪，再加配腎關或陽池等穴。,區位易象特效對針,
結膜炎,耳尖、太陽,區位易象特效對針,
耳痛,本穴,區位易象特效對針,
耳痛,太溪、液門,區位易象特效對針,
耳鳴,風市、中渚,區位易象特效對針,
耳鳴,風市、聽會,區位易象特效對針,
肩關節周圍炎,尺澤呼吸補瀉法針刺,區位易象特效對針,
肩後側（太陽經）疼痛,後溪,區位易象特效對針,
肩周炎、舉臂困難等筋病，偏頭痛、手腕痛,陽陵泉,區位易象特效對針,
肩外側偏後方（少陽經）疼痛,中渚,區位易象特效對針,
肩痛、臂痛、手腕痛,尺澤穴附近靜脈點刺出血,區位易象特效對針,
肩臂痛,本穴,區位易象特效對針,
肱骨內上髁炎（高爾夫球肘）,心門穴、後溪穴,區位易象特效對針,
肱骨外上髁炎,尺澤透痛點針刺,區位易象特效對針,
肱骨外上髁炎（即網球肘）,曲後穴配手三里穴，再配健側靈骨穴做牽引,區位易象特效對針,
肺熱及胸膜病變導致的胸痛,魚際穴,區位易象特效對針,
腎結石,下白穴、馬金水穴,區位易象特效對針,
腎虛引起的坐骨神經痛、背痛、頭痛、腰痠、腰痛，兩手發麻或疼痛，肩痛、肩周炎,腎關,區位易象特效對針,
脅肋疼痛、落枕、急性腰扭傷,支溝,區位易象特效對針,
脅肋痛,本穴,區位易象特效對針,
脅肋痛,陽陵泉 支溝,區位易象特效對針,
胃病,內關、公孫,區位易象特效對針,
胃痛,內關配梁丘,區位易象特效對針,
胃腸、脾、肝、膽等臟腑疾病，頭痛、眼花、耳鳴、面癱、顳頜關節紊亂症、牙痛、喉痺、乳痛、半身不遂、髖骨痛、下肢風溼病、痿痺、膝腫膝痛、腳痛、咳嗽、氣喘痰喘、心悸、失眠等,建議穴位或對針：足三里,區位易象特效對針,
膽囊炎,木枝穴配下白穴,區位易象特效對針,
胸痛,本穴,區位易象特效對針,
胸痛,內關配魚際或內關配重仙治療胸痛效果甚佳。,區位易象特效對針,
胸膜痛,本穴,區位易象特效對針,
胸悶,內關,區位易象特效對針,
脅肋疼痛,支溝,區位易象特效對針,
腳踝疼痛,小節穴加牽引針,區位易象特效對針,
腳踝痛及腳踝扭傷,小節穴,區位易象特效對針,
腕管綜合徵,五虎一穴、側三里穴,區位易象特效對針,
腰椎疾病,束骨、人中,區位易象特效對針,
腰痛,中渚、心門,區位易象特效對針,
腰背痛,委中,區位易象特效對針,
腰腿痛,靈骨、大白,區位易象特效對針,
腹瀉,建議穴位或對針：門金穴、腸門穴,區位易象特效對針,
腹痛,支溝穴,區位易象特效對針,
腹痛,內關,區位易象特效對針,
腹痛,地機（脾經郄穴）：能反應並治療胰腺炎；梁丘（胃經郄穴）：能反應並治療胃痙攣、胃擴張、胃潰瘍伴穿孔；溫溜（大腸經郄穴）：能反應並治療腸梗阻、腸穿孔；養老（小腸經郄穴）：能反應並治療闌尾炎、腸穿孔；中都（肝經郄穴）：能反應並治療膽石症及肝膽疾病；外丘（膽經郄穴）：能反應並治療膽石症及膽囊炎。,區位易象特效對針,
腹股溝酸脹疼痛,靈骨,區位易象特效對針,
膝關節痛、膝不能下蹲,尺澤穴治療,區位易象特效對針,
膝痛,內關、太沖,區位易象特效對針,
膝痛,太沖穴，內關配太沖（膝痛楊二針 A），心門配患側太沖,區位易象特效對針,
膝痛,內關配太沖或心門配火主,區位易象特效對針,
膽絞痛,下白穴,區位易象特效對針,
蕁麻疹,曲池、血海,區位易象特效對針,
蕁麻疹,曲池配血海稱為“風疹二針”。,區位易象特效對針,
落枕,重子穴、重仙穴,區位易象特效對針,
蛋白尿,水愈穴、陰陵泉,區位易象特效對針,
蛋白尿,水愈配合陰陵泉穴，祛溼健脾之功甚強。陰陵泉配太溪亦為治療蛋白尿之特效對針,區位易象特效對針,
諸痰為病,豐隆、中脘,區位易象特效對針,
赤白帶,雲白穴，還巢穴配木婦穴,區位易象特效對針,
赤白帶下,雲白穴，通腎穴,區位易象特效對針,
足跗痛,本穴,區位易象特效對針,
足跟痛,靈骨穴配束骨穴作牽引,區位易象特效對針,
遺尿,腎關穴 還巢穴,區位易象特效對針,
遺精,關元、腎關穴或三陰交配腎關穴,區位易象特效對針,
閉經,承漿、天樞對針,區位易象特效對針,
間歇性疼痛,後溪,區位易象特效對針,
陽痿,大敦 關元,區位易象特效對針,
陽痿,關元、大敦,區位易象特效對針,
面神經麻痺,上巨虛、足三里,區位易象特效對針,
面肌痙攣,後溪、三間,區位易象特效對針,
面肌痙攣,後溪、勞宮,區位易象特效對針,
面部疼痛和頭痛,大白穴（董氏奇穴）,區位易象特效對針,
面部痛,三間,區位易象特效對針,
面部痤瘡,耳尖配曲池。,區位易象特效對針,
面部痤瘡,耳尖穴配曲池穴,區位易象特效對針,
面部肌肉抽搐或痙攣,後溪透勞宮,區位易象特效對針,
顱內痛,束骨、太沖,區位易象特效對針,
頸椎病,後溪配束骨,區位易象特效對針,
頸椎病,束骨、後溪、人中三穴治療，再加配風市,區位易象特效對針,
頸部、肩部及上背部皆疼痛,合用重子、重仙穴甚效，這是“背痛二針A”,區位易象特效對針,
頸部僵硬、落枕,重仙穴，若疼痛偏於肩部則加用重子穴，合用承漿穴效果更好。,區位易象特效對針,
頸部前後上下轉動不適,常針束骨,區位易象特效對針,
頸部強硬緊痛，左右轉動不適,常針後溪,區位易象特效對針,
頸部軟組織損傷,後溪、束骨,區位易象特效對針,
骶尾骨痛,心門穴，後會穴,區位易象特效對針,
高脂血症,豐隆,區位易象特效對針,
高血壓,本穴附近點刺出血,區位易象特效對針,
高血壓,曲池 行間,區位易象特效對針,
高血壓,曲池、行間,區位易象特效對針,
麥粒腫,耳尖、太陽,區位易象特效對針,
黃疸,腕骨、肝門穴,區位易象特效對針,
鼻塞,門金穴、迎香,區位易象特效對針,
鼻塞、流涕、喉痛,液門穴,區位易象特效對針,
鼻炎,合谷、太沖,區位易象特效對針,
鼻病,三叉三穴配木穴（鼻痛二針）,區位易象特效對針,
鼻痛,三叉三穴，木穴,區位易象特效對針,
鼻衄,行間、虎口,區位易象特效對針,
一般之頭暈,靈骨穴,常見病特效一針療法,79
三叉神經痛,後溪穴,常見病特效一針療法,97
上、中、下消皆治,曲池,常見病特效一針療法,51
上瞼下垂,門金穴、三叉三穴、公孫、血海、魚腰、陽白等穴位,常見病特效一針療法,44
下元虛損之病,中極,常見病特效一針療法,152
下腹痛,三間穴,常見病特效一針療法,52
下頜痛；張口不靈,火硬穴,常見病特效一針療法,
不孕症,婦科穴、關元,常見病特效一針療法,118
不孕症,婦科穴、還巢穴、中極、腎俞、關元、神闕等,常見病特效一針療法,118
不孕症,中極、還巢穴,常見病特效一針療法,152
不孕症,常用穴位為腎俞、關元、神闕。治法方面：艾灸以通陽，最常用的穴位為中極，其次為神闕、關元。,常見病特效一針療法,118
不聞香臭,"迎香, 迎香配通天",常見病特效一針療法,200
兩手痠痛難持物,肩髁、曲池、合谷,常見病特效一針療法,47
兩睛紅腫而痛,睛明、魚尾,常見病特效一針療法,195
兩肘拘攣,曲池、尺澤,常見病特效一針療法,51
兩肩風溼,肩鶻,常見病特效一針療法,
兩腿疼,髖骨,常見病特效一針療法,
兩膝腫,膝眼、足三里,常見病特效一針療法,49
兩臂難任,肩井,常見病特效一針療法,166
兩臂難堪（即兩臂不舉及疼痛）,肩井、中渚,常見病特效一針療法,166
兩足不能行,太沖,常見病特效一針療法,76
兩足拘攣,陰市,常見病特效一針療法,
兩足痠麻,太溪、僕參、內庭,常見病特效一針療法,128
兩足難伸,支溝,常見病特效一針療法,107
兩足難移,懸鐘、條口,常見病特效一針療法,
中樞性面癱,內頰車、耳背,常見病特效一針療法,179
中耳炎,制汙穴,常見病特效一針療法,
中耳炎,制汙穴、聽宮、靈臺,常見病特效一針療法,199
中風,井穴,常見病特效一針療法,
中風後遺症,"靈骨穴, 尺澤",常見病特效一針療法,54
中風後遺症,靈骨穴、風市、木火穴、百會、尺澤。,常見病特效一針療法,63
中風後遺症之半身不遂,百會、尺澤、靈骨、大白、風市,常見病特效一針療法,54
中風昏迷不識人,十二井穴,常見病特效一針療法,78
中風痱，身體不能自收持，口不能言，冒昧不知痛處，或拘急不得轉側,魚際穴及其他健脾理氣、益腎理血之穴位,常見病特效一針療法,
舉足不能起,陽陵泉,常見病特效一針療法,
乏力,,常見病特效一針療法,
乳汁不行,膻中、足三里,常見病特效一針療法,49
乳汁不行,常用一針特效穴有膻中、湧泉、少澤、乳根、足三里。乳汁過多可針刺足臨泣、光明。,常見病特效一針療法,169
乳汁不足虛證,足三里,常見病特效一針療法,49
乳汁分泌減少,少澤,常見病特效一針療法,192
乳汁過多,足臨泣,常見病特效一針療法,170
乳癰,內關、太沖,常見病特效一針療法,58
乳癰（急性乳腺炎）,內關、肩井、曲池、梁丘、太沖,常見病特效一針療法,51
乳蛾,少商（刺出血）,常見病特效一針療法,102
五十肩,脾經之陰陵泉穴,常見病特效一針療法,
五十肩之肩不舉,尺澤穴,常見病特效一針療法,54
五官病，陰部病,木穴,常見病特效一針療法,
五指不伸,中渚,常見病特效一針療法,
傷寒肩背痛,中渚,常見病特效一針療法,
傷寒項強及張目直視,列缺,常見病特效一針療法,
便秘,支溝、上巨虛,常見病特效一針療法,107
便秘,建議穴位或對針：支溝、承山、天樞、大腸俞、上巨虛、照海等。特別是急性便秘和習慣性便秘，療效顯著。,常見病特效一針療法,108
便秘,天樞,常見病特效一針療法,108
便秘,天樞、上巨虛、大腸俞、照海、支溝,常見病特效一針療法,90
便秘及尾骶痛,"支溝穴, 董氏奇穴搏球穴",常見病特效一針療法,107
偏頭痛、腰側痛等少陽經之疼痛,臨泣,常見病特效一針療法,
偏正頭疼,"列缺,太淵",常見病特效一針療法,
偏風手不收,曲池,常見病特效一針療法,51
免疫力,解表扶正，並能預防流感。常用於風寒感冒，不適用於舌尖赤、咽痛的風熱感冒患者。,常見病特效一針療法,
六腑不安,總樞穴（董氏奇穴）,常見病特效一針療法,84
內耳性眩暈症、神經性耳聾、老年性耳鳴,聽會,常見病特效一針療法,197
冠心病、心肌梗死,"內關, 膻中, 肘彎",常見病特效一針療法,55
冷風溼痺,環跳、陽陵泉、三里、脊中、足三里、小海、大杼、曲泉、通裡,常見病特效一針療法,49
出血遷延不止,六完穴（董氏奇穴）,常見病特效一針療法,61
前頭太陽穴痛,陷谷,常見病特效一針療法,209
半身不遂,靈骨穴、大白穴,常見病特效一針療法,79
半身不遂,靈骨穴，治功同補陽還五湯。,常見病特效一針療法,79
半身不遂,靈骨、大白（針健側），或配風市，或配腎關，間以背部五嶺穴點刺,常見病特效一針療法,79
厥逆,湧泉,常見病特效一針療法,169
發作性睡病,"鼻翼, 照海",常見病特效一針療法,89
發作性睡病,常用一針特效穴有鼻翼、三叉三穴、神門、申脈、照海等。,常見病特效一針療法,44
發燒,耳背靜脈,常見病特效一針療法,
發熱,液門,常見病特效一針療法,45
發言無聲,總樞穴（董氏奇穴）,常見病特效一針療法,84
口喉不能發聲，發音無力、說話障礙、吞嚥困難、嘔吐等前面口部之病,總樞穴（介於風府、啞門之間）,常見病特效一針療法,84
口噤,合谷,常見病特效一針療法,47
口噤歪斜,地倉、頰車,常見病特效一針療法,182
口歪（口眼歪斜）,地倉、頰車,常見病特效一針療法,182
口渴,承漿,常見病特效一針療法,132
口渴,關元,常見病特效一針療法,118
口渴,承漿,常見病特效一針療法,132
口瘡（口腔潰瘍）,勞宮,常見病特效一針療法,105
口眼歪斜,地倉配頰車穴,常見病特效一針療法,
"口眼歪斜, 口歪",地倉、頰車,常見病特效一針療法,182
口腔兩側纖維化,太陽穴放血，每兩個星期一次，共3次以上,常見病特效一針療法,
口腔潰瘍,"勞宮, 神闕",常見病特效一針療法,105
口腔潰瘍,灸神闕穴、針液門穴、勞宮穴、大陵穴、耳尖穴,常見病特效一針療法,86
口腔炎、舌炎、口腔黏膜潰瘍等,液門,常見病特效一針療法,45
口臭,大陵、人中,常見病特效一針療法,75
口臭,"大陵, 大陵配人中",常見病特效一針療法,105
口舌生瘡,舌下兩邊刺血,常見病特效一針療法,
右臉麻痺,右側,常見病特效一針療法,
各種痛證及癢症,內關,常見病特效一針療法,58
後頭痛、顛頂痛及腰痛、頸痛，以及太陽經走行之坐骨神經痛,束骨,常見病特效一針療法,
後頭痛及後背痛,後溪（天部）,常見病特效一針療法,97
後跟痛,僕參,常見病特效一針療法,
吐瀉（包括急性腸胃炎）,中脘,常見病特效一針療法,
呃逆,間使、翳風、膈俞,常見病特效一針療法,69
呃逆,湧泉、內關、中魁,常見病特效一針療法,58
呃逆,人中、攢竹、少商、膻中,常見病特效一針療法,55
呃逆（膈肌痙攣）,膻中、間使、內關、中魁,常見病特效一針療法,55
嘔吐,內關、大陵,常見病特效一針療法,58
嘔吐,內關、中魁、總樞穴、中脘、大陵、勞宮、金津,常見病特效一針療法,58
嘔吐,內關、中魁、總樞穴（董氏奇穴）,常見病特效一針療法,58
嘔吐,中脘針後加拔火罐,常見病特效一針療法,
嘔吐,金津或玉液、印堂,常見病特效一針療法,62
嘔血,大陵,常見病特效一針療法,105
咀嚼肌痙攣,"陷谷, 太陽",常見病特效一針療法,192
咀嚼肌痙攣,陷谷、外關、火硬穴、火主穴、太陽、足三里等,常見病特效一針療法,72
咀嚼肌痙攣,陷谷穴、門金穴、外關、火硬穴、火主穴,常見病特效一針療法,72
咀嚼肌痙攣；顳頜關節紊亂，張口不靈,火主穴,常見病特效一針療法,72
咯血,"孔最, 尺澤",常見病特效一針療法,54
咯血,孔最、魚際、湧泉、六完穴、尺澤、印堂等穴位,常見病特效一針療法,45
咯血,魚際,常見病特效一針療法,45
咯血,肺經孔最、魚際,常見病特效一針療法,45
咳喘,尺澤、魚際或復溜等,常見病特效一針療法,54
咳喘、打呃（噎膈）、腹部發脹、嘔吐,兩邊皆針，則為土、金、水並治，對應肺、脾、腎,常見病特效一針療法,
咳嗽,"水通穴、水金穴, 尺澤",常見病特效一針療法,54
咳嗽,水通穴、水金穴、魚際、肺俞、尺澤、膻中、天突等,常見病特效一針療法,45
咳嗽,魚際穴、肺俞穴、尺澤穴,常見病特效一針療法,45
咳嗽,尺澤穴、肺俞穴、魚際穴及水通或水金穴,常見病特效一針療法,47
咳嗽,水通、尺澤,常見病特效一針療法,54
咳嗽,天突、膻中,常見病特效一針療法,55
咳嗽、氣喘,肺俞穴,常見病特效一針療法,47
咳嗽氣喘,水金、水通沿皮斜刺,常見病特效一針療法,
咽內腫，氣走咽喉不能言,建議穴位或對針：太沖、魚際,常見病特效一針療法,45
咽喉痛,建議穴位或對針：少商、商陽,常見病特效一針療法,215
咽喉腫痛,少商、商陽,常見病特效一針療法,102
咽喉腫痛,單取魚際穴有效，配液門穴效果更佳。,常見病特效一針療法,
咽乾,建議穴位或對針：照海,常見病特效一針療法,
咽炎,"少商, 魚際",常見病特效一針療法,45
咽痛、咽腫、頷腫,建議穴位或對針：商陽,常見病特效一針療法,
哮喘,魚際、水通穴、水金穴、孔最、尺澤、內關、肺俞、豐隆、天突、膻中等,常見病特效一針療法,45
哮喘,孔最,常見病特效一針療法,60
哮喘,內關穴,常見病特效一針療法,58
哮喘,豐隆、天突、膻中,常見病特效一針療法,55
唇歪,太沖,常見病特效一針療法,76
喉中之閉塞,照海,常見病特效一針療法,90
喉中焦乾渴,建議穴位或對針：魚際,常見病特效一針療法,
喉嚨、支氣管相關疾病,承漿穴,常見病特效一針療法,132
喉炎,耳背靜脈,常見病特效一針療法,
喉病,合谷,常見病特效一針療法,47
喉痛,液門穴、魚際,常見病特效一針療法,45
喉痛,液門、魚際，太沖，百會、太沖、照海、陰交，內庭或太沖，照海（刺出血）,常見病特效一針療法,45
喉蛾,耳背靜脈,常見病特效一針療法,
喉部病,正會（百會）,常見病特效一針療法,63
喉閉,曲池,常見病特效一針療法,51
喘咳有血,湧泉,常見病特效一針療法,169
嗜眠,鼻翼穴、三叉三穴貼筋貼骨進針，肝腎並治，又透達中白（中渚）輸穴之位置，能健脾益氣祛溼。神門穴心脾兩治，申脈穴補陽氣不足，照海穴瀉陰氣有餘。,常見病特效一針療法,89
嗜睡,"鼻翼, 神門",常見病特效一針療法,87
四肢冷厥,內庭,常見病特效一針療法,147
四肢浮腫,中白穴（董氏奇穴）,常見病特效一針療法,
四肢筋肉不利之運動系統障礙及病變,陽陵泉,常見病特效一針療法,
四肢重,通裡,常見病特效一針療法,70
因風痰阻於面部經絡者,豐隆穴,常見病特效一針療法,58
坐骨神經痛、網球肘、腳跟骨刺,靈骨穴,常見病特效一針療法,79
坐骨神經痛,靈骨（地部）,常見病特效一針療法,79
坐骨神經痛,三間穴,常見病特效一針療法,52
坐骨神經痛,左側痛與右側痛的不同穴位,常見病特效一針療法,
聲音改變或不能發音,間使,常見病特效一針療法,69
壽瘡,委中、承山、二白、大腸俞、齦交等,常見病特效一針療法,108
壽瘡,齦交穴刺血,常見病特效一針療法,
外感發熱,瀉復溜，汗多宜將合谷收。若汗多不止，補合谷，瀉復溜。,常見病特效一針療法,
外感病而兼有體重節痛或嘔吐腹瀉,太淵,常見病特效一針療法,
外感證,滎穴，如三焦經之液門穴、肺經之魚際,常見病特效一針療法,
外感諸症,大椎,常見病特效一針療法,46
外感諸症，感冒及肺炎之發燒,大椎,常見病特效一針療法,46
多夢及夢遊,半夏瀉心湯，隱白、厲兌,常見病特效一針療法,151
